日期, 50etf开盘价 , 50etf收盘价 , 成交量pcr , 持仓量pcr , 成交额pcr , 持仓额pcr , 成交额pcr/成交量pcr , VIX , SKEW ,
2015/02/09, 2.291 , 2.331 , 0.66 , 0.76 , 0.53 , 0.57 , 0.80 , 27.70 , 103.68 ,
2015/02/10, 2.331 , 2.369 , 0.81 , 0.83 , 0.56 , 0.52 , 0.69 , 28.28 , 103.20 ,
2015/02/11, 2.371 , 2.380 , 0.92 , 0.90 , 0.64 , 0.53 , 0.69 , 25.63 , 105.90 ,
2015/02/12, 2.379 , 2.384 , 0.78 , 0.77 , 0.57 , 0.44 , 0.73 , 24.47 , 103.44 ,
2015/02/13, 2.390 , 2.390 , 0.91 , 1.07 , 0.52 , 0.62 , 0.58 , 21.47 , 105.52 ,
2015/02/16, 2.390 , 2.394 , 1.25 , 0.98 , 0.67 , 0.58 , 0.54 , 21.74 , 105.42 ,
2015/02/17, 2.401 , 2.411 , 1.29 , 0.92 , 0.56 , 0.43 , 0.43 , 22.37 , 106.31 ,
2015/02/25, 2.411 , 2.370 , 0.64 , 0.87 , 0.38 , 0.56 , 0.60 , 23.48 , 102.75 ,
2015/02/26, 2.368 , 2.450 , 1.27 , 0.91 , 0.61 , 0.34 , 0.48 , 22.47 , 109.81 ,
2015/02/27, 2.447 , 2.438 , 0.73 , 0.86 , 0.29 , 0.31 , 0.40 , 24.26 , 105.06 ,
2015/03/02, 2.456 , 2.441 , 0.91 , 0.85 , 0.34 , 0.31 , 0.38 , 25.22 , 104.87 ,
2015/03/03, 2.427 , 2.364 , 0.80 , 0.84 , 0.52 , 0.61 , 0.65 , 25.51 , 100.23 ,
2015/03/04, 2.368 , 2.362 , 0.93 , 0.78 , 0.89 , 0.62 , 0.96 , 24.78 , 100.26 ,
2015/03/05, 2.345 , 2.334 , 0.84 , 0.74 , 1.10 , 0.80 , 1.31 , 23.85 , 98.63 ,
2015/03/06, 2.335 , 2.339 , 0.87 , 0.74 , 1.06 , 0.75 , 1.22 , 23.67 , 99.34 ,
2015/03/09, 2.300 , 2.397 , 1.18 , 0.75 , 1.42 , 0.53 , 1.20 , 24.17 , 102.87 ,
2015/03/10, 2.381 , 2.359 , 0.75 , 0.75 , 0.69 , 0.51 , 0.92 , 23.45 , 100.51 ,
2015/03/11, 2.363 , 2.374 , 0.84 , 0.75 , 0.70 , 0.59 , 0.83 , 23.00 , 101.20 ,
2015/03/12, 2.404 , 2.448 , 0.64 , 0.78 , 0.32 , 0.31 , 0.50 , 22.41 , 106.29 ,
